"№";"АО";"Район";Адрес жилого помещения;Л/счёт;"Статус";"Доля в праве собственности";"Фамилия имя отчество";"Дата рождения";"Место рождения";"Серия";"Номер";"Дата выдачи";"Кем выдан";"ИНН";"СНИЛС";"Телефон";"Адрес электронной почты";"Фактический адрес";"Период";"Начислено за месяц, руб.";"Перерасчеты. руб.";"Предъявлено. руб.";"Оплачено, руб";"Долг. руб.";"в т.ч. ХВС и ВО";"в т.ч. ГВС";"в т.ч. отопление";"в т.ч. вывоз ТКО";"в т.ч. содержание и обслуживание МКД";"в т.ч. целевые взносы";"в т.ч. домофон";"в т.ч. радио"
;"САО";"Аэропорт";1-й Балтийский пер., д. 3/25, кв. 17;123456789;"Собственник";0,5;"Меркулова София Платоновна";01.03.89;"г. Кунгур, РСФСР";4158;825142;04.01.18;"Отделением УФМС России по г. Набережные Челны";934258487206;78227513621;89621432345;;"1-й Балтийский пер., д. 3/25, кв. 17";"01.2023";6500;0;6500;1650;4850;300;500;2850;500;200;200;200;100
;"САО";"Аэропорт";"1-й Балтийский пер., д. 3/25, кв. 17";123456789;"Собственник";0,5;"Меркулова София Платоновна";01.03.89;"г. Кунгур, РСФСР";4158;825142;04.01.18;"Отделением УФМС России по г. Набережные Челны";934258487206;78227513621;89621432345;;"1-й Балтийский пер., д. 3/25, кв. 17";"02.2023";6300;250;6550;2750;3800;270;400;2200;450;200;80;100;100
;"САО";"Аэропорт";1-й Балтийский пер., д. 3/25, кв. 17;123456789;"Собственник";0,5;"Меркулова София Платоновна";01.03.89;"г. Кунгур, РСФСР";4158;825142;04.01.18;"Отделением УФМС России по г. Набережные Челны";934258487206;78227513621;89621432345;;"1-й Балтийский пер., д. 3/25, кв. 17";"03.2023";6130;-130;6000;0;6000;500;1000;3200;600;200;200;200;100
;"САО";"Аэропорт";1-й Балтийский пер., д. 3/25, кв. 17;123456789;"Собственник";0,5;"Меркулова София Платоновна";01.03.89;"г. Кунгур, РСФСР";4158;825142;04.01.18;"Отделением УФМС России по г. Набережные Челны";934258487206;78227513621;89621432345;;"1-й Балтийский пер., д. 3/25, кв. 17";"04.2023";5300;0;5300;4700;600;100;100;300;100;0;0;0;0
;"САО";Аэропорт;"1-й Балтийский пер., д. 3/25, кв. 15";132435465;"Зарегистрированный";;"Голубев Артем Николаевич";20.05.98;"г. Йошкар-Ола, РФ";4642;939301;26.02.22;"ОУФМС России по г. Электросталь";153651823484;33374795603;;"sdfkl@mail.ru";"1-й Балтийский пер., д. 3/25, кв. 15";"05.2023";4300;-780;3520;520;3000;300;700;1500;100;200;200;0;0
;"САО";"Аэропорт";"1-й Балтийский пер., д. 3/25, кв. 15";132435465;"Зарегистрированный";;"Голубев Артем Николаевич";20.05.98;"г. Йошкар-Ола, РФ";4642;939301;26.02.22;"ОУФМС России по г. Электросталь";153651823484;33374795603;;"sdfkl@mail.ru";"1-й Балтийский пер., д. 3/25, кв. 15";"06.2023";4200;0;4200;0;4200;500;700;2000;200;200;200;200;200
;"САО";"Аэропорт";"1-й Балтийский пер., д. 3/25, кв. 15";132435465;"Зарегистрированный";;"Голубев Артем Николаевич";20.05.98;"г. Йошкар-Ола, РФ";4642;939301;26.02.22;"ОУФМС России по г. Электросталь";153651823484;33374795603;;"sdfkl@mail.ru";"1-й Балтийский пер., д. 3/25, кв. 15";"07.2023";4000;500;4500;1800;2700;200;200;1700;200;200;200;0;0
;"СВАО";"Медведково Южное";"Ясный проезд, д. 28, кв. 56";123465768;"Собственник";1;"Короткова Милана Ивановна";17.08.63;"г. Северск, РСФСР";4331;840914;13.09.15;"ОВД России по г. Нижнекамск";6643580951;98180074027;;"letayui@gmail.com";"Ясный проезд, д. 28, кв. 56";"06.2022";3800;-300;3500;1000;2500;300;400;1000;200;200;200;100;100
;"СВАО";"Медведково Южное";"Ясный проезд, д. 28, кв. 56";123465768;"Собственник";1;"Короткова Милана Ивановна";17.08.63;"г. Северск, РСФСР";4331;840914;13.09.15;"ОВД России по г. Нижнекамск";6643580951;98180074027;;"letayui@gmail.com";"Ясный проезд, д. 28, кв. 56";"07.2022";3700;250;3950;1000;2950;300;500;1350;200;200;200;100;100
;"СВАО";"Медведково Южное";"Ясный проезд, д. 28, кв. 56";123465768;"Собственник";1;"Короткова Милана Ивановна";17.08.63;"г. Северск, РСФСР";4331;840914;13.09.15;"ОВД России по г. Нижнекамск";6643580951;98180074027;;"letayui@gmail.com";"Ясный проезд, д. 28, кв. 56";"08.2022";3300;0;3300;1000;2300;200;300;1100;100;200;200;100;100
