
"Расчет пени  ";"";"";"";"";"";"";""
"Лицевой счет:";"987654321";"";"";"";"";"";"";""
"Адрес:       ";"Ярославское ш., д. 8, корп. 1, кв. 173";"";"";"";"";"";"";""
"Должник:     ";"Моисеев Илья Ярославович";"";"";"";"";"";"";""
"Задолженность:";"с";"по";"Дней";"Ставка";"Доля ставки";"Формула";"Пени"
"6900";"2023-03-11";"2023-04-11";"30";"9.5";"0";"6900 * 30 * 9.5 * 0";"0"
"6900";"2023-04-11";"2023-06-10";"60";"9.5";"1 / 300";"6900 * 60 * 9.5 * 1/300";"131.1"
"6900";"2023-06-10";"2024-03-13";"247";"9.5";"1 / 130";"6900 * 247 * 9.5 * 1/130";"1245.45"
"";"";"";"";"";"";"ИТОГО";"1376.55"
"Задолженность:";"с";"по";"Дней";"Ставка";"Доля ставки";"Формула";"Пени"
"8600";"2023-09-11";"2023-10-11";"30";"9.5";"0";"8600 * 30 * 9.5 * 0";"0"
"8600";"2023-10-11";"2023-12-10";"60";"9.5";"1 / 300";"8600 * 60 * 9.5 * 1/300";"163.4"
"8600";"2023-12-10";"2024-03-13";"64";"9.5";"1 / 130";"8600 * 64 * 9.5 * 1/130";"402.22"
"";"";"";"";"";"";"ИТОГО";"565.62"
"";"";"";"";"";"";"ВСЕГО, неустойка:";"1942.17"
